ID,Nombre,Edad,Género,Ubicación,Grado_escolar,Horas_de_uso_diario,Horas_de_sueño,Rendimiento_académico,Interacciones_sociales,Horas_de_ejercicio,Nivel_de_ansiedad,Nivel_de_depresión,Autoestima,Control_parental,Tiempo_antes_de_acostarse,Chequeos_del_celular_por_día,Aplicaciones_usadas_a_diario,Tiempo_en_redes_sociales,Tiempo_en_el_juego,Tiempo_en_Educación,Propósito_del_uso_del_teléfono,Comunicación_familiar,Horas_de_uso_en_finde,Nivel_de_adicción
2292,Andrew Davis,14,Varon,West Davidchester,12,7.5,6.4,54,4,0.3,3,9,5,1,0.8,53,18,3.3,2.6,1.2,busquedas,6,7.6,10
2293,Mark Harris,16,Mujer,North Michael,7,7.1,4.6,93,9,1.7,9,6,8,1,0.8,70,16,2.3,0.8,1.5,Juego,9,4.6,10
2294,Andrea Rodriguez,15,Otro,East Julie,11,0.9,5.1,83,8,0.8,7,5,7,0,1.2,43,15,3.3,2.5,0.7,Juego,8,7.6,8
2295,Rebecca Hebert,17,Otro,Port Courtneyland,7,3.7,7.2,71,1,1.1,4,9,10,1,0.9,56,16,3,1.7,0.6,Educación,1,5.4,9.1
2296,Angel Hernandez,14,Mujer,Port Rebecca,7,8,3.5,84,8,1.9,10,2,7,0,1.6,125,7,0.9,1.7,1,busquedas,3,8.2,10
2297,Phyllis Reyes,14,Mujer,South Melissa,10,6.1,8.4,69,8,1.3,8,8,1,0,0.9,124,11,2.3,1,1.5,Educación,3,6.4,9.9
2298,Kristen Sellers,13,Otro,Lake Jasonfort,7,4.6,4.5,85,5,0.4,2,3,7,0,1.3,26,16,4.2,0.4,0.4,Educación,1,3.8,10
2299,Gina Wilson,18,Otro,Kingfurt,12,6.2,7.6,79,1,1.6,6,10,3,0,0.1,54,14,2.5,0,1.5,Educación,5,6.7,8.8
2300,James Snyder,13,Otro,West Kimberly,10,3.9,8.5,70,5,2,5,2,10,1,0.7,25,10,2.5,1.4,0.8,Otro,8,4,6.1
2301,Brianna White,13,Varon,Kaylashire,8,1.5,7.9,75,1,1.1,7,8,10,1,0.7,38,6,2.7,0,0.3,Otro,4,8.9,2.2
2302,Anthony English,18,Mujer,Lawsonhaven,9,5.8,7.4,62,5,2.1,6,10,3,1,1.2,49,12,1.1,0.2,0.5,Otro,4,4.3,6.8
2303,Phillip Mcdonald,13,Mujer,Lake Matthewburgh,12,5.2,4.9,89,5,0.4,3,7,9,0,0.7,91,7,2.6,4,1.1,Juego,9,3.4,10
2304,Dr. Tracie Smith,15,Otro,Duncanfort,9,2,6.9,87,9,0.4,1,4,6,0,1.1,33,17,2.1,2.8,1.3,Juego,8,9,7.5
2305,Edwin Williams,13,Mujer,Martinmouth,11,2.9,4.3,96,9,0.8,8,2,3,0,0.8,142,5,2.6,2,0.6,busquedas,4,8.6,9.2
2306,Thomas Boyd,17,Otro,Knappside,9,3.6,4.4,51,2,1.3,6,3,7,1,0.7,29,11,2,1.5,2.1,Redes sociales,6,6.3,7.7
2307,Mr. John Stephens,18,Otro,Nicoleville,9,5.4,5.6,55,6,2.3,8,10,2,1,0.9,60,19,5,1.3,1,Educación,4,7.9,10
2308,Jill Mueller,19,Otro,Port Zachary,10,2.2,4.8,80,7,0.9,5,9,9,1,1,30,10,0.9,0,0.1,Redes sociales,9,9.5,3.3
2309,Noah Patterson,18,Mujer,Lopezberg,11,2.8,6.3,54,6,1.8,4,8,5,0,0.2,45,10,1.9,1.9,0,Otro,5,6.8,6.4
2310,Penny Rangel,16,Otro,South Jacob,7,2.4,5.7,59,5,1.3,6,3,4,1,0.8,86,5,3.8,1.5,0.2,busquedas,2,5.6,7.6
2311,Amber Collins,13,Varon,Hawkinschester,8,2.9,9.8,51,1,1,10,3,6,1,1,86,11,0.9,2.1,1.1,Redes sociales,7,7.3,4.9
2312,Allison Patterson,18,Mujer,Phillipsland,12,3.3,5,60,7,1,9,4,10,1,0.9,36,14,1.1,1,1.3,Otro,6,6.8,6.4
2313,Robert Nash,17,Varon,Murrayland,10,7,5.6,58,9,0.7,3,6,4,1,1.3,85,18,2.8,1.6,0.7,Juego,4,5.8,10
2314,Steven Ross,17,Mujer,Yeseniaside,12,1.6,4.6,87,3,0.9,5,7,3,0,1.1,53,9,1.7,1,1.1,Juego,4,8,4.9
2315,Patricia Clark,19,Mujer,Lake Brianaville,10,4.9,7.1,59,0,1.4,10,2,3,0,1.1,115,19,2.7,2.4,0.5,busquedas,5,6.9,10
2316,Rebecca Richards,16,Varon,Petersburgh,7,5.2,9.2,78,3,1.2,5,9,3,1,0.8,62,20,4.3,0.5,0.1,Redes sociales,2,6,10
2317,Sarah Rodriguez,18,Otro,North Jerrybury,8,6.9,7.3,76,8,1,4,6,5,1,1.3,108,17,1.7,0.2,0.7,Educación,7,5.4,10
2318,Justin Jones,19,Mujer,Aaronfurt,8,2.2,5.3,93,1,0.2,9,3,4,1,0.7,122,8,0,1.4,1.3,Juego,2,8.1,5
2319,Kevin Cherry,19,Varon,North Corey,7,6.4,6.3,68,5,0.8,4,2,10,0,1.8,26,14,1.9,1.2,0.2,Juego,6,7.7,9.7
2320,Joseph Ross,18,Mujer,Port Christopherbury,7,6.7,8,50,8,2.4,4,10,3,1,1.3,141,17,2.3,1.7,0.4,Redes sociales,8,4.6,10
2321,Christine Hale,19,Mujer,Lake James,10,4.2,7.2,85,0,0.6,7,5,7,1,0.9,150,16,1.4,0.9,0.8,Otro,4,4.6,9.1
2322,Anthony Gray,13,Varon,New Lisaport,8,3.4,7.1,68,6,1.1,2,5,10,1,0.7,125,11,3.1,1.2,1.2,busquedas,3,5.6,8.9
2323,Ana Davila,17,Otro,North Ronald,12,1,7.1,74,0,1.2,3,4,1,0,0.7,56,15,1.7,0.5,0.7,Redes sociales,10,9.2,3.8
2324,Heather Bailey,14,Otro,Alexandraville,11,3.4,6.4,84,2,0,10,8,9,0,1.3,38,6,1.8,0.7,1.1,Educación,3,5.1,4.7
2325,Manuel Miller,13,Mujer,Smithland,11,6,7,80,1,0.6,1,7,5,0,0.6,88,20,2.6,0.9,1.8,busquedas,5,6.5,10
2326,Alicia Snyder,16,Varon,Scottbury,10,4.6,7.1,87,7,1.9,8,3,1,1,0,57,7,4.3,2,1.5,Otro,4,5.5,9.9
2327,Cynthia Alexander,13,Mujer,Jenniferport,11,5.4,4,100,3,0,9,6,9,1,0.7,108,8,1.7,1.7,1.9,Otro,6,2.8,10
2328,Jessica Perry,14,Varon,Lake Jill,10,4.3,7.9,74,2,0.3,7,2,10,1,1.2,69,18,2.6,1.7,1.9,Redes sociales,6,8,9.6
2329,Misty Davis,18,Mujer,Wilkinsonville,11,4.8,6.5,56,7,1,3,8,9,0,1.9,118,12,2.6,2.1,0.5,Otro,7,6,10
2330,Jason Marks,17,Otro,Brownburgh,7,5.1,4.6,58,8,0.4,2,6,7,0,0.2,137,12,1.3,2.7,1.8,Juego,1,4.8,10
2331,Kimberly Caldwell,15,Mujer,North Jennifer,12,1.9,8,88,3,0.6,7,2,5,1,0.7,46,14,2.4,1.7,0.6,Redes sociales,3,5,5.7
2332,Jill Douglas,15,Mujer,Simmonsport,12,4.1,7.7,78,1,2.1,9,2,2,0,1.3,95,14,2.1,1.3,1.1,busquedas,7,7.4,8.4
2333,Kelsey Nash,14,Varon,Tammyview,8,6,5.1,95,10,1.9,7,6,3,0,1.9,147,10,1,2.8,1.1,busquedas,3,4.4,10
2334,Charlene Myers,16,Otro,Lake Michael,7,5.5,5.6,79,10,2.4,8,8,2,1,0.8,45,12,2.1,2.3,0,Educación,2,6.4,10
2335,Teresa Crawford,14,Mujer,Smithbury,11,4.2,6.6,99,5,0.4,3,1,10,0,2.1,68,11,2,4,1.2,Otro,2,5.8,10
2336,Cheyenne Valdez,19,Mujer,West Louisshire,8,8.2,6.9,70,1,0.8,8,5,9,0,0.9,62,7,2.9,1.7,1.5,Educación,5,4.4,10
2337,Brandi Abbott,16,Varon,Gomezton,7,6.2,6.1,65,0,1.5,5,3,1,1,1.6,79,16,4.6,1.2,0.7,busquedas,2,6.2,10
2338,Cynthia Bailey,15,Otro,New Shannon,8,5.2,5.7,93,10,2,2,1,4,1,0.5,102,13,4.2,0.3,0.8,busquedas,10,4.7,10
2339,James Henderson,15,Mujer,Aliciamouth,12,1.2,8,98,3,1.5,6,8,3,0,0.9,82,19,4.5,0,0.7,Otro,4,6.4,7.1
2340,Jordan Richard,13,Mujer,North Vincentstad,10,3.3,7.9,74,2,1.1,10,4,3,0,1.8,22,11,2.4,1,0.9,Juego,10,5.5,5.4
2341,Richard Li,19,Varon,Yatesshire,7,1.2,8.1,89,9,0.7,2,9,5,0,1.5,148,15,1.7,3.3,0.9,Juego,9,10.9,8.1
2342,Nicole Irwin,19,Otro,New Ryan,12,5.8,6.9,74,3,0,10,8,9,0,1.4,106,6,2.5,0,0.5,Redes sociales,4,1.7,8.2
2343,Peter Nelson,14,Mujer,Rosalesfort,9,3.9,5.2,80,8,0.5,10,9,6,1,1.8,132,16,1.3,0,1.5,busquedas,9,8,8.4
2344,Margaret Vazquez,18,Varon,Dominiquebury,11,1.8,4,52,1,2.2,8,7,9,1,2.2,144,8,1.9,2.6,2.1,Redes sociales,7,5.3,8.8
2345,Bryan Mcdonald,19,Mujer,South Zachary,11,4.5,5.5,61,9,1.4,7,3,4,0,1.4,125,14,2.8,1.4,0,Otro,10,7.2,10
2346,Steven Rivas,14,Otro,Lake Barbara,11,6.9,6.6,60,2,0,9,5,2,0,1.4,144,13,2.5,1.9,1.1,Redes sociales,9,8,10
2347,Joanna Jones,15,Otro,Lake Dianechester,9,7.8,9.9,70,0,1,10,6,10,0,0.5,95,12,2,2.1,0.4,Otro,7,7.9,10
2348,Laura Giles,15,Mujer,Thomasview,7,3.3,5.3,65,7,1.1,6,5,1,0,1.6,142,9,3.3,0,0.9,Redes sociales,9,7.9,8.6
2349,Kelsey Humphrey,13,Mujer,Stevensshire,8,5.9,3.8,81,4,2,10,7,9,1,0.6,129,10,1.4,1.9,1.1,Educación,9,6.4,10
2350,Thomas Martin,15,Otro,New Suzanne,7,4.3,4.3,54,6,1.3,4,6,5,1,0.6,144,12,3.4,1.8,1.6,Juego,3,6.1,10
2351,Tonya Knight,15,Mujer,Port Sean,7,1.9,7.4,64,4,1.4,3,8,5,1,0.8,35,19,4,2.8,0.9,Redes sociales,6,5.4,9.5
2352,Holly King,13,Otro,Jonathanchester,8,3.6,5.3,79,9,1.1,4,5,7,0,1.1,113,10,3.5,0.4,0.7,Educación,4,7,9.1
2353,Thomas Garcia,17,Varon,Benjaminville,12,7.6,4,51,0,0.3,8,6,9,0,0.3,101,7,1.4,3,0.9,Juego,6,5,10
2354,Anna Hahn,19,Otro,New Davidchester,9,4.3,6.3,85,3,0,2,2,9,0,0.9,44,8,3.9,2,0.7,Redes sociales,5,7.2,9.5
2355,Mark Fleming,17,Varon,Bakerborough,10,2.6,7,53,8,0.9,6,3,10,0,1.7,135,20,3.8,3.4,0.6,Otro,5,5.9,10
2356,Samantha Rush,18,Otro,Leemouth,12,4.5,5.7,76,9,2.6,5,2,2,0,1,59,6,1.3,0.8,1.6,Juego,3,5.5,6.1
2357,Stacy Johnson,16,Otro,North Mary,8,5.3,7.6,72,1,1.3,4,4,7,0,0.5,75,12,0.6,0,0,Otro,3,6,6
2358,Joseph Patterson,17,Varon,Mcdanielstad,8,2.9,7.9,83,6,1.4,3,7,1,1,0,30,5,2.4,2.8,2,Otro,8,8,5.7
2359,Sarah Willis,19,Otro,Schultzbury,10,8,7.7,52,5,0.7,5,2,8,1,1.6,47,8,2.8,3.3,1.7,Educación,6,7.8,10
2360,Melissa Lambert,16,Otro,South Jonathanstad,9,2.2,6.5,65,4,1.1,2,7,10,1,1.3,45,5,1.4,0.5,1.7,Juego,7,6.2,2.8
2361,Melissa Williams,18,Varon,Port Johnside,7,1.7,5.9,53,8,0.4,9,10,5,0,1.2,23,10,2.2,1.6,0.1,Educación,1,5.2,5
2362,Jason Cunningham Jr.,16,Mujer,West Benjamin,11,3.8,7.3,95,5,0,1,5,3,0,0.4,63,5,3.7,2.1,0,Otro,1,7.9,8.2
2363,Heather Snyder,13,Varon,New Sharonville,11,3.3,6.5,76,7,2.3,4,5,5,0,0.7,31,20,1.9,2.3,1.8,Otro,3,2.9,8.9
2364,Maria Watkins,13,Otro,New Williamfort,11,4.1,4.7,54,4,0.4,1,6,4,1,0.4,72,14,2.7,0.5,1.9,Otro,5,3.7,9.2
2365,Lisa Bowman,13,Mujer,West Emily,9,7.1,7.6,63,1,1.9,8,4,5,0,1.5,115,19,2.8,3.1,1.6,Educación,10,0.3,10
2366,Ricky Clark,15,Mujer,South Kevin,9,2.5,7.1,87,0,0.4,6,2,7,0,1.8,40,20,2.3,1.3,1.6,Juego,3,6.3,7.4
2367,Patricia Reed,14,Mujer,Turnermouth,9,6,6.2,74,0,3.2,10,6,1,1,0.4,81,11,3.1,0.9,1.1,Otro,6,6.7,10
2368,Wendy Beasley,13,Otro,North Sarah,8,7.5,6.7,80,3,1.5,3,2,9,1,0.7,93,8,3.5,0.7,1.4,Otro,10,4.9,10
2369,Jonathan Guerra,18,Varon,West Jennifer,12,4.6,7.6,61,9,2.3,8,10,4,0,1.6,62,9,3,2.3,1.7,Educación,7,3,9.1
2370,David Mendoza,16,Mujer,Johnsonville,12,3.2,8,58,2,1.3,4,8,1,0,1.8,146,11,3.2,0,1.1,busquedas,8,8.6,7.5
2371,Tracy Miller,17,Mujer,West Cody,12,4.6,6.5,80,2,0,2,5,10,0,0.6,20,14,4.5,1.2,2.1,Otro,3,4.6,10
2372,Christina Fields,15,Mujer,Gabrielleborough,11,3.7,6,64,1,1.2,10,3,9,0,1.5,117,17,2.4,1.5,0.9,Redes sociales,5,7,10
2373,Kimberly Decker,18,Otro,Jermaineview,9,7.8,7.1,85,0,0,4,4,3,0,1.2,53,5,2.9,1.4,0,busquedas,6,9.7,10
2374,Jennifer Dodson,19,Otro,Lake Brandonstad,12,5.2,6.2,53,2,1.6,2,6,2,1,0.3,22,10,0,1.7,0.7,Juego,6,8.6,6.2
2375,Richard Thompson,14,Mujer,East Aprilberg,7,7.4,6.7,75,5,0,7,4,6,0,1.2,28,16,2.5,1.8,1.4,Educación,2,5.7,10
2376,Maureen Lawson,19,Otro,Alvarezberg,12,6.9,6.5,70,9,1.7,1,3,6,1,0.7,67,20,1.9,0,2.7,Juego,8,4.9,10
2377,Alicia Dickerson,16,Varon,Davidshire,12,7.3,5,75,0,1.1,5,6,4,0,0.5,83,17,2.3,1.1,1.7,Redes sociales,7,6.4,10
2378,Christina Griffin,17,Mujer,Port Donaldland,9,4,7.4,53,6,0.9,2,7,6,0,1.2,64,12,2.5,0,0.9,Juego,9,6.1,6.5
2379,Gregory Sims,13,Otro,Robertsonberg,12,3,6.5,75,2,0.4,9,4,6,1,1.3,140,10,3.1,1.3,0.6,Redes sociales,4,3.7,9
2380,Colleen Mooney,18,Varon,Shawnfurt,8,4.9,8,86,1,0,6,6,6,1,1.6,64,11,3.6,1.5,2,Otro,8,8.3,9.5
2381,Jeffrey Williams,13,Otro,Gonzalesville,8,4.9,7.9,66,4,0.4,1,7,3,1,2,23,16,0,1.3,1.6,Juego,10,7.9,5.9
2382,William Kaufman,15,Otro,North Terri,8,4.4,5.7,75,4,0.4,4,5,9,0,0.8,67,10,2.3,1.6,0.1,Redes sociales,10,3.7,8.8
2383,Sherri Miller,18,Varon,South Patricia,11,5.8,4.8,69,0,1.6,10,5,4,0,1.3,84,12,4,1.3,1.1,Educación,3,5.5,10
2384,William Mills,14,Otro,Port Deborahhaven,12,2.9,6.6,75,10,2,7,1,3,0,0.9,118,17,4.5,1.6,0.8,Redes sociales,2,5.3,10
2385,Richard Kelly,16,Otro,Bradshawborough,9,2.7,5.3,74,10,2.1,10,3,4,0,1,29,18,3.1,2.8,2.1,Educación,7,9.4,10
2386,Mark Wilson,19,Varon,Lake Triciaside,11,0,7.1,82,2,0,8,7,8,0,0.2,31,7,1.2,1.3,0.5,Juego,6,6.8,1
2387,Ronald Clark,16,Otro,Port Vickiland,11,2.5,5.2,72,7,0,1,9,7,0,0.5,103,7,0,1.6,2,Otro,6,3.9,5
2388,Debbie Reed,13,Mujer,North Alexanderbury,7,3.1,4.3,65,1,0.8,10,10,10,1,1.5,150,17,2.3,1.9,2,Redes sociales,5,7.1,10
2389,Natalie Silva,18,Varon,New Melissa,12,8.1,4.6,87,0,0,8,3,1,1,1.5,43,8,3.9,1.8,1.7,Educación,8,7.7,10
2390,Crystal Ward,14,Mujer,Taylorbury,8,6.7,7.1,73,7,2,10,6,6,0,1.3,28,9,0.6,1.7,1.1,Otro,1,5.3,7.8
2391,Mrs. Stephanie Huang MD,13,Varon,Hornshire,7,6.7,5.8,97,6,0.4,8,9,9,1,0.9,107,19,3.3,2.6,1.6,busquedas,4,6.3,10
2392,Sarah Johnson,17,Mujer,South Alexandra,8,5.1,8.3,78,1,0,9,5,7,0,1,46,6,4.1,3.5,0.4,Otro,2,7.9,10
2393,Regina Clark,15,Varon,Brownton,9,5.2,7.5,66,5,1.4,1,10,4,0,0.4,131,7,2.9,0,1.5,Educación,5,7,8.4
2394,Kevin Cobb,15,Mujer,Jamesbury,12,4.3,7.3,95,7,1.7,8,2,7,1,1.3,26,20,5,1.1,1.5,Otro,10,11.4,10
2395,Michael Williamson,14,Varon,North Nathanstad,10,9.5,7.4,65,6,0.9,7,8,4,1,0.7,36,18,1.4,2.6,1.5,busquedas,4,7.8,10
2396,Mary Leblanc,15,Otro,Millermouth,11,2.7,4.1,73,5,1.6,10,7,8,1,0.8,56,13,1.9,1.5,0.1,busquedas,4,5.9,7.8
2397,Ronald Davis,19,Mujer,Patrickborough,10,6.4,5.3,55,9,1.9,8,3,6,0,2.2,121,13,3.8,0.2,0.9,Educación,2,6.6,10
2398,John Giles,15,Mujer,East Elizabeth,10,3.8,6.8,51,5,1,10,2,4,0,0.6,31,13,3.5,1.2,1,Otro,8,4.9,8.3
2399,Judith Johnson,17,Varon,Maxwellfort,9,6.3,8,85,3,1,1,3,2,0,1.3,103,11,3,1.8,0.6,Redes sociales,6,5.4,10
2400,Michael Smith,14,Varon,Lake Jeffery,12,6.8,3.6,86,0,0.3,3,1,4,0,0.9,145,13,3.3,1.5,0.5,Juego,9,4.5,10
2401,Lisa Gonzalez,13,Varon,Deborahmouth,11,11.2,8.1,55,1,1.5,4,6,3,1,0.9,34,17,3.6,2.4,0.9,busquedas,5,8.2,10
2402,Russell Dalton,13,Otro,Tatestad,11,2.2,7.1,97,4,1.4,7,7,1,0,1.7,56,12,1.9,0.4,0.1,Otro,3,6.5,4.5
2403,Fernando Barrera,13,Otro,Wigginsshire,7,3.5,8.7,73,9,1.4,9,6,5,0,0.2,30,8,3.6,2.1,0.9,Educación,2,7,7
2404,Alison Nguyen,14,Mujer,Port Arianamouth,12,8.9,4.9,77,8,2,6,5,5,1,0.7,122,10,2.1,2.1,0.7,busquedas,7,7.8,10
2405,Alison Gibbs,16,Varon,Meganville,9,4.5,5,80,1,2.7,6,9,1,1,1.3,129,6,1.3,3.1,0.8,Educación,2,2.8,10
2406,Brenda Arnold,17,Varon,Port William,11,4,6.8,87,1,0.9,4,5,8,1,1.3,83,17,2.5,1.3,1.3,busquedas,2,6.1,9.5
2407,Lisa Bailey,16,Otro,East Mark,8,1.7,5.1,86,7,2.1,4,1,3,1,1.2,57,14,3,2.1,1.6,Educación,8,5.4,8.2
2408,Kristi Reyes MD,15,Otro,Brittanychester,7,4.3,6.5,98,0,0,10,8,5,1,1,89,20,3.2,1.9,1.2,Juego,1,3.6,10
2409,Teresa Beard,15,Mujer,Grayport,11,4.4,8,59,2,1.6,2,1,10,1,1,32,18,3.6,0,1,Redes sociales,2,5.3,8.2
2410,Wendy Bailey,18,Varon,Youngtown,8,4.6,3,68,1,0.6,10,7,6,0,2.2,104,16,3.2,2.2,1,Redes sociales,8,7.5,10
2411,Susan Pineda,18,Mujer,New Charlesborough,8,5.7,5.3,73,4,0.2,4,7,7,1,1.1,143,7,2.3,1.2,1.5,Educación,9,5.3,10
2412,Catherine Ali,15,Otro,South Jessicabury,8,5.4,5.8,93,2,0.5,4,10,6,0,0.5,143,19,2.6,3.1,0.5,Juego,8,4.7,10
2413,Samuel Robinson,13,Mujer,Susanfort,8,3,7.4,74,2,1.4,5,1,9,0,1.5,78,12,2.7,2.9,1.4,Redes sociales,6,8.7,8.9
2414,Brian Brooks,14,Varon,East Richardtown,12,3.1,5.7,91,5,2.2,9,1,3,1,0.5,32,17,0.9,0.7,1,Redes sociales,3,7.6,5.9
2415,John Johnson,14,Varon,Port Laurenville,9,3,5.6,95,8,2.1,5,5,2,1,0.6,53,12,3.3,2,0.5,Juego,4,8.5,9
2416,Abigail Hernandez,16,Otro,North Albertstad,11,8.4,6.9,98,10,0.8,10,3,3,1,1.5,108,13,3.9,1,1.5,Educación,5,5.9,10
2417,Aaron Tyler,18,Varon,Randyhaven,9,7.5,8.1,70,7,0.8,7,3,4,1,1.1,119,15,2.2,1.4,1.9,Otro,5,5.5,10
2418,Dwayne Rogers,13,Varon,West Brianfort,12,3.8,6.8,50,5,0.1,10,6,5,1,0.6,74,8,2.8,4,0,busquedas,9,5.6,10
2419,Nicholas Garcia,13,Otro,Castrobury,9,3.7,7.4,82,10,0.8,5,7,9,0,1,144,14,1.9,2,1,busquedas,6,4.2,9.6
2420,Elizabeth Williams,15,Varon,Port Susanberg,8,7.3,5.6,56,0,0.3,7,10,9,0,0.8,39,9,0.8,1.2,1.9,Educación,4,2.6,9.1
2421,Samantha Heath,19,Varon,South Alison,10,2.9,7.6,74,0,1.3,10,2,10,0,1.2,48,6,2.8,2.1,0.4,Educación,8,3.5,6.2
2422,Mike Mcgee,18,Varon,North Scottfurt,8,3.1,7.6,62,3,1.6,3,2,3,1,1.2,112,7,0.5,3.1,2.6,Educación,1,7.6,6.5
2423,Teresa Lynn,13,Otro,Port Bethburgh,12,7.1,3.3,54,5,0,10,8,6,1,0,132,13,3,1.5,0.8,Otro,2,5.9,10
2424,Kelsey Carter,18,Varon,Sheafurt,9,4.2,7.3,64,2,0,6,9,10,0,0,37,13,2.1,0,0.9,busquedas,8,4,6
2425,Jennifer Johnson,14,Mujer,East Lucasside,11,6.2,6.9,63,10,1.6,7,5,8,0,0,139,13,2.2,0,1.4,Otro,1,5,10
2426,James Richard,14,Otro,Russomouth,8,6.7,5.5,77,2,1.1,1,6,6,1,0.9,36,6,0.3,0.8,0.9,busquedas,1,3.2,7
2427,Todd Christian,18,Varon,Port Julia,7,3.5,8.8,57,6,0.8,1,10,8,1,0.8,73,16,0,2.2,0.5,Redes sociales,7,5.4,6
2428,Heather Bailey,13,Mujer,New Amanda,11,6.9,6.1,59,4,0.7,2,6,6,0,0.7,114,15,1.4,1.9,2.6,Otro,2,6.9,10
2429,Nathan Simmons,13,Varon,Martinside,11,4.9,5.1,99,2,1.5,3,5,3,1,1.2,63,19,4.4,2.2,0.8,busquedas,4,5.9,10
2430,Benjamin Holmes,19,Mujer,Port Carol,10,0,5.5,53,6,0.4,4,7,1,0,0.6,32,14,2.9,0.1,1.3,busquedas,10,1.3,3.7
2431,Daniel Davis,16,Mujer,Johnsonberg,7,4.7,7.8,63,4,2.2,3,7,2,0,1.1,62,13,2.6,0.4,0.5,Redes sociales,1,5.1,7.6
2432,James Cole,16,Mujer,West Donaldfurt,8,9.1,6.2,85,4,2.4,8,3,3,0,1.5,33,17,3.3,0.1,1.6,busquedas,4,7.5,10
2433,Joseph Thomas,17,Varon,Parkerland,7,0,7.8,73,3,0.6,7,3,1,0,1.5,27,11,2.6,1.8,0.7,Redes sociales,9,6.9,3.2
2434,Melissa Wang,18,Mujer,East Kaylaberg,7,4.3,9.5,52,6,0,6,5,9,1,1,41,17,3.5,1.4,1.8,Educación,6,6.5,8.7
2435,Richard Jordan,16,Otro,Evelynborough,10,2.2,8.8,92,6,0.5,10,9,2,1,0.3,80,19,2.2,1.8,1.2,Otro,4,5.8,7.2
2436,Sara Johnson,17,Mujer,Michaelfort,11,2.6,6.3,98,2,0,7,10,7,1,0.8,65,14,2.4,2.5,0,Juego,6,6.8,8.4
2437,Bryan Barnes,18,Mujer,New Dawnshire,7,4.8,7.4,93,1,0.9,4,9,2,1,1.5,125,6,1.9,2.5,1.4,Educación,10,6.2,9.2
2438,Pamela Bailey,17,Varon,New Thomasbury,8,5.3,7.9,80,4,1.3,7,3,5,1,2.1,142,14,2.7,0.1,1.1,Juego,2,7.2,9.8
2439,Paula Roy,13,Mujer,Lindaland,7,5.6,7,67,3,0.5,8,5,9,0,1.3,59,17,0,2.3,0.6,Educación,3,4.4,9
2440,Hector Wright,17,Varon,Juliaborough,12,8.4,6.1,54,0,1.2,3,2,3,1,0.8,94,19,1.8,0.2,1.4,Educación,8,2.2,10
2441,David Hill,16,Otro,Lake Megan,9,3.4,6.9,94,7,1.4,7,3,10,0,0.7,64,17,2.8,1.6,0.8,Otro,6,5.5,9
2442,Travis Watson,13,Mujer,Ramirezshire,10,6.9,5.3,84,10,0.4,4,1,6,1,1.1,136,9,3.5,0.3,2.3,Otro,6,7.1,10
2443,Brenda Hernandez,13,Otro,Theresaville,10,7.8,7.2,97,4,0,6,3,7,0,0.1,52,19,2,2,2.3,Educación,8,8.3,10
2444,Jonathan Freeman,16,Varon,Wilsonchester,12,6.5,6.5,83,9,1.8,9,9,6,0,1.1,24,13,3,1.9,0.4,busquedas,6,6.9,10
2445,Victoria Burton,16,Mujer,Davisbury,9,3.5,6.1,83,4,1.8,3,2,3,0,0.8,48,9,2.9,1.3,0,Otro,7,8.8,7.4
2446,David Fernandez,17,Mujer,Wisechester,7,3.9,5.8,86,4,2.3,1,5,9,1,1.6,66,15,1.4,0.2,1.3,Juego,8,6.5,6.9
2447,David Black,19,Varon,Clarkstad,7,4.7,7.8,69,8,1,1,1,1,1,0.7,27,7,3,3.2,1.5,Redes sociales,10,3.8,8.9
2448,Donna Williams,16,Varon,New Dennis,12,3.8,8.8,91,8,0,10,3,10,0,0.7,85,10,2.2,0,1.6,Redes sociales,4,4.6,5.3
2449,Sean Perez,18,Otro,North Michelleport,11,4.9,3,75,8,0.3,6,8,4,1,0.6,112,11,0.5,2.8,0.3,Educación,6,4.1,10
2450,Chris Krause,16,Otro,West Jessicaton,8,7,6.4,65,6,1.2,4,6,9,0,0.6,135,20,1.8,0,0.4,Otro,2,5.3,10
2451,Jeffrey Gallagher,15,Mujer,North Heather,12,6.3,6.9,62,3,2,2,3,1,1,0.4,91,7,3.8,2.5,1.2,busquedas,4,7.4,10
2452,Thomas Matthews,15,Mujer,New Stephanie,10,3.4,6.5,80,7,0.8,5,2,6,0,0.6,66,14,2.7,1,1.6,Otro,6,4,8
2453,Gregory Smith,14,Mujer,Sandrahaven,12,7.7,10,82,2,1.7,7,7,10,1,1.3,105,7,2.7,1.4,0.8,busquedas,9,6.4,10
2454,Kevin Ryan,19,Mujer,Bowerstown,12,0,4.6,66,5,0.5,6,10,1,1,1.3,69,12,3.8,2.9,0.6,Educación,7,2.8,8.2
2455,Steven Roberts,18,Otro,Hernandezville,12,3.6,5.3,93,8,0,5,5,8,0,1.3,119,15,1.1,1,0,Educación,3,7.5,8.4
2456,Adam Boone,18,Varon,Justinfort,7,7.5,7.4,95,5,0.5,5,10,9,1,1.1,34,14,2.6,1.6,1.5,Otro,3,3.3,10
2457,Amanda Webb,16,Varon,New Marcshire,7,8.3,7.2,63,3,2.3,9,1,10,1,0.7,79,18,3.8,2.6,0.7,busquedas,8,7.2,10
2458,Scott Davis,16,Mujer,Ericaborough,11,8.5,5.8,76,4,1.9,4,2,8,0,0.5,144,10,1.3,1,1.2,Redes sociales,9,3.9,10
